section,niche_a,niche_b,co_occurrence_ratio,graph_steps,descriptive
1160920F,N1,N7,0.8338672426911857,first-ring,True
1160920F,N1,N8,0.4691811418858174,first-ring,True
1160920F,N1,N9,0.8792994321371459,first-ring,True
1160920F,N2,N0,0.9487859433986545,first-ring,True
1160920F,N2,N1,0.8960391606993362,first-ring,True
1160920F,N2,N2,1.9039847162861556,first-ring,True
1160920F,N2,N3,0.8063972997677975,first-ring,True
1160920F,N2,N4,1.041220000686285,first-ring,True
1160920F,N2,N5,1.0024103255560608,first-ring,True
1160920F,N2,N6,0.7493904080884766,first-ring,True
1160920F,N2,N7,1.0720721404685978,first-ring,True
1160920F,N2,N8,0.5837253448924519,first-ring,True
1160920F,N2,N9,1.4262012964161477,first-ring,True
1160920F,N3,N0,0.9537385918727713,first-ring,True
1160920F,N3,N1,0.9894103499482338,first-ring,True
1160920F,N3,N2,0.8063972997677975,first-ring,True
1160920F,N3,N3,1.905343540363277,first-ring,True
1160920F,N3,N4,0.3112896792918073,first-ring,True
1160920F,N3,N5,0.45343930162737245,first-ring,True
1160920F,N3,N6,1.563031561882126,first-ring,True
1160920F,N3,N7,0.3404903040749326,first-ring,True
1160920F,N3,N8,0.35344950598624497,first-ring,True
1160920F,N3,N9,0.7025436798695834,first-ring,True
1160920F,N4,N0,0.9010410790971926,first-ring,True
1160920F,N4,N1,0.7363576176933389,first-ring,True
1160920F,N4,N2,1.041220000686285,first-ring,True
1160920F,N4,N3,0.3112896792918073,first-ring,True
1160920F,N4,N4,3.419478877816054,first-ring,True
1160920F,N4,N5,2.2031235633416903,first-ring,True
1160920F,N4,N6,0.29700911703085053,first-ring,True
1160920F,N4,N7,2.0130465170424254,first-ring,True
1160920F,N4,N8,1.459146830979021,first-ring,True
1160920F,N4,N9,1.304324864826801,first-ring,True
1160920F,N5,N0,0.8214280357748146,first-ring,True
1160920F,N5,N1,0.7809531066261594,first-ring,True
1160920F,N5,N2,1.0024103255560608,first-ring,True
1160920F,N5,N3,0.45343930162737245,first-ring,True
1160920F,N5,N4,2.2031235633416903,first-ring,True
1160920F,N5,N5,2.064253402041044,first-ring,True
1160920F,N5,N6,0.2806597490057642,first-ring,True
1160920F,N5,N7,1.5716171799514593,first-ring,True
1160920F,N5,N8,2.1577725791329603,first-ring,True
1160920F,N5,N9,1.084718329351719,first-ring,True
1160920F,N6,N0,0.7647377134417906,first-ring,True
1160920F,N6,N1,0.9471680466258008,first-ring,True
1160920F,N6,N2,0.7493904080884766,first-ring,True
1160920F,N6,N3,1.563031561882126,first-ring,True
1160920F,N6,N4,0.29700911703085053,first-ring,True
1160920F,N6,N5,0.2806597490057642,first-ring,True
1160920F,N6,N6,1.8793367494877482,first-ring,True
1160920F,N6,N7,0.28682710264441513,first-ring,True
1160920F,N6,N8,0.2047315591920948,first-ring,True
1160920F,N6,N9,0.6566060409391973,first-ring,True
1160920F,N7,N0,0.9589081926473029,first-ring,True
1160920F,N7,N1,0.8338672426911857,first-ring,True
1160920F,N7,N2,1.0720721404685978,first-ring,True
1160920F,N7,N3,0.3404903040749326,first-ring,True
1160920F,N7,N4,2.0130465170424254,first-ring,True
1160920F,N7,N5,1.5716171799514593,first-ring,True
1160920F,N7,N6,0.28682710264441513,first-ring,True
1160920F,N7,N7,3.0023995614378576,first-ring,True
1160920F,N7,N8,0.7292356960051449,first-ring,True
1160920F,N7,N9,0.9964049786434376,first-ring,True
1160920F,N8,N0,1.9279365575275997,first-ring,True
1160920F,N8,N1,0.4691811418858174,first-ring,True
1160920F,N8,N2,0.5837253448924519,first-ring,True
1160920F,N8,N3,0.35344950598624497,first-ring,True
1160920F,N8,N4,1.459146830979021,first-ring,True
1160920F,N8,N5,2.1577725791329603,first-ring,True
1160920F,N8,N6,0.2047315591920948,first-ring,True
1160920F,N8,N7,0.7292356960051449,first-ring,True
1160920F,N8,N8,4.178403452684494,first-ring,True
1160920F,N8,N9,1.2931521456199397,first-ring,True
1160920F,N9,N0,0.9370591038841707,first-ring,True
1160920F,N9,N1,0.8792994321371459,first-ring,True
1160920F,N9,N2,1.4262012964161477,first-ring,True
1160920F,N9,N3,0.7025436798695834,first-ring,True
1160920F,N9,N4,1.304324864826801,first-ring,True
1160920F,N9,N5,1.084718329351719,first-ring,True
1160920F,N9,N6,0.6566060409391973,first-ring,True
1160920F,N9,N7,0.9964049786434376,first-ring,True
1160920F,N9,N8,1.2931521456199397,first-ring,True
1160920F,N9,N9,1.9675624742107203,first-ring,True
CID4290,N0,N0,8.230991234547558,first-ring,True
CID4290,N0,N1,0.6450620089770813,first-ring,True
CID4290,N0,N2,0.9184565210850575,first-ring,True
CID4290,N0,N3,1.2310280145511012,first-ring,True
CID4290,N0,N4,0.6695064640541077,first-ring,True
CID4290,N0,N5,0.5612039478100608,first-ring,True
CID4290,N0,N6,0.9992845949682327,first-ring,True
CID4290,N0,N7,0.8169207313687736,first-ring,True
CID4290,N0,N8,1.2805996124524879,first-ring,True
CID4290,N0,N9,0.9702169945190883,first-ring,True
CID4290,N1,N0,0.6450620089770813,first-ring,True
CID4290,N1,N1,1.1815756523056054,first-ring,True
CID4290,N1,N2,0.886785606564883,first-ring,True
CID4290,N1,N3,0.9452031192185466,first-ring,True
CID4290,N1,N4,0.692592893849077,first-ring,True
CID4290,N1,N5,1.1353091357996632,first-ring,True
CID4290,N1,N6,0.9946280963896297,first-ring,True
CID4290,N1,N7,0.9517327732449011,first-ring,True
CID4290,N1,N8,0.9950406184113582,first-ring,True
CID4290,N1,N9,1.11519194772309,first-ring,True
CID4290,N2,N0,0.9184565210850575,first-ring,True
CID4290,N2,N1,0.886785606564883,first-ring,True
CID4290,N2,N2,1.6459271374246303,first-ring,True
CID4290,N2,N3,1.1282201394489997,first-ring,True
CID4290,N2,N4,0.7601436207401332,first-ring,True
CID4290,N2,N5,0.9643793471393104,first-ring,True
CID4290,N2,N6,1.03760236702624,first-ring,True
CID4290,N2,N7,0.5407518095470969,first-ring,True
CID4290,N2,N8,1.1841308570499298,first-ring,True
CID4290,N2,N9,0.9130080501972648,first-ring,True
CID4290,N3,N0,1.2310280145511012,first-ring,True
CID4290,N3,N1,0.9452031192185466,first-ring,True
CID4290,N3,N2,1.1282201394489997,first-ring,True
CID4290,N3,N3,2.0162385717895024,first-ring,True
CID4290,N3,N4,0.6241528003601197,first-ring,True
CID4290,N3,N5,1.0258566787925842,first-ring,True
CID4290,N3,N6,1.386278681354361,first-ring,True
CID4290,N3,N7,0.4479887881699726,first-ring,True
CID4290,N3,N8,1.0487146933804457,first-ring,True
CID4290,N3,N9,1.0404620959143769,first-ring,True
CID4290,N4,N0,0.6695064640541077,first-ring,True
CID4290,N4,N1,0.692592893849077,first-ring,True
CID4290,N4,N2,0.7601436207401332,first-ring,True
CID4290,N4,N3,0.6241528003601197,first-ring,True
CID4290,N4,N4,2.995160497084166,first-ring,True
CID4290,N4,N5,1.087948004087925,first-ring,True
CID4290,N4,N6,0.519542701935831,first-ring,True
CID4290,N4,N7,1.6184858098922694,first-ring,True
CID4290,N4,N8,1.050316348809716,first-ring,True
CID4290,N4,N9,1.0609975320179503,first-ring,True
CID4290,N5,N0,0.5612039478100608,first-ring,True
CID4290,N5,N1,1.1353091357996632,first-ring,True
CID4290,N5,N2,0.9643793471393104,first-ring,True
CID4290,N5,N3,1.0258566787925842,first-ring,True
CID4290,N5,N4,1.087948004087925,first-ring,True
CID4290,N5,N5,0.5612039478100608,first-ring,True
CID4290,N5,N6,0.9182615197005383,first-ring,True
CID4290,N5,N7,1.1524417460380914,first-ring,True
CID4290,N5,N8,0.9604497093393658,first-ring,True
CID4290,N5,N9,1.078018882798987,first-ring,True
CID4290,N6,N0,0.9992845949682327,first-ring,True
CID4290,N6,N1,0.9946280963896297,first-ring,True
CID4290,N6,N2,1.03760236702624,first-ring,True
CID4290,N6,N3,1.386278681354361,first-ring,True
CID4290,N6,N4,0.519542701935831,first-ring,True
CID4290,N6,N5,0.9182615197005383,first-ring,True
CID4290,N6,N6,1.8638174370142564,first-ring,True
CID4290,N6,N7,0.42122088059657725,first-ring,True
CID4290,N6,N8,0.717969577483978,first-ring,True
CID4290,N6,N9,0.9338252742717339,first-ring,True
CID4290,N7,N0,0.8169207313687736,first-ring,True
CID4290,N7,N1,0.9517327732449011,first-ring,True
CID4290,N7,N2,0.5407518095470969,first-ring,True
CID4290,N7,N3,0.4479887881699726,first-ring,True
CID4290,N7,N4,1.6184858098922694,first-ring,True
CID4290,N7,N5,1.1524417460380914,first-ring,True
CID4290,N7,N6,0.42122088059657725,first-ring,True
CID4290,N7,N7,1.8701917267606882,first-ring,True
CID4290,N7,N8,0.9220708830334503,first-ring,True
CID4290,N7,N9,0.8910963425705387,first-ring,True
CID4290,N8,N0,1.2805996124524879,first-ring,True
CID4290,N8,N1,0.9950406184113582,first-ring,True
CID4290,N8,N2,1.1841308570499298,first-ring,True
CID4290,N8,N3,1.0487146933804457,first-ring,True
CID4290,N8,N4,1.050316348809716,first-ring,True
CID4290,N8,N5,0.9604497093393658,first-ring,True
CID4290,N8,N6,0.717969577483978,first-ring,True
CID4290,N8,N7,0.9220708830334503,first-ring,True
CID4290,N8,N8,1.295496968123076,first-ring,True
CID4290,N8,N9,0.8978667339285521,first-ring,True
CID4290,N9,N0,0.9702169945190883,first-ring,True
CID4290,N9,N1,1.11519194772309,first-ring,True
CID4290,N9,N2,0.9130080501972648,first-ring,True
CID4290,N9,N3,1.0404620959143769,first-ring,True
CID4290,N9,N4,1.0609975320179503,first-ring,True
CID4290,N9,N5,1.078018882798987,first-ring,True
CID4290,N9,N6,0.9338252742717339,first-ring,True
CID4290,N9,N7,0.8910963425705387,first-ring,True
CID4290,N9,N8,0.8978667339285521,first-ring,True
CID4290,N9,N9,1.4288318073708608,first-ring,True
CID4465,N0,N0,24.726369920755356,first-ring,True
CID4465,N0,N1,0.044632436680063815,first-ring,True
CID4465,N0,N2,1.2120769568997725,first-ring,True
CID4465,N0,N3,3.199883166215399,first-ring,True
CID4465,N0,N4,0.0,first-ring,True
CID4465,N0,N5,0.0,first-ring,True
CID4465,N0,N6,0.2676014060687809,first-ring,True
CID4465,N0,N7,0.4484056721380505,first-ring,True
CID4465,N0,N8,2.2077116000674426,first-ring,True
CID4465,N0,N9,0.4415423200134885,first-ring,True
CID4465,N1,N0,0.044632436680063815,first-ring,True
CID4465,N1,N1,1.6763749863515665,first-ring,True
CID4465,N1,N2,0.966160982250793,first-ring,True
CID4465,N1,N3,0.6049007888874531,first-ring,True
CID4465,N1,N4,0.6616102378456519,first-ring,True
CID4465,N1,N5,0.7879341706211266,first-ring,True
CID4465,N1,N6,1.0398778104420061,first-ring,True
CID4465,N1,N7,0.6826681506712352,first-ring,True
CID4465,N1,N8,0.30844201777115526,first-ring,True
CID4465,N1,N9,0.8320761409640467,first-ring,True
CID4465,N2,N0,1.2120769568997725,first-ring,True
CID4465,N2,N1,0.966160982250793,first-ring,True
CID4465,N2,N2,1.863271243547885,first-ring,True
CID4465,N2,N3,1.0267004811386304,first-ring,True
CID4465,N2,N4,0.6844669874257537,first-ring,True
CID4465,N2,N5,0.8391302009306116,first-ring,True
CID4465,N2,N6,0.8500279957478922,first-ring,True
