section,niche_a,niche_b,co_occurrence_ratio,graph_steps,descriptive
CID4535,N1,N7,1.105115255062196,first-ring,True
CID4535,N1,N8,0.6827757537394756,first-ring,True
CID4535,N1,N9,1.2876911145086605,first-ring,True
CID4535,N2,N0,1.7019257495768465,first-ring,True
CID4535,N2,N1,0.9122105211903928,first-ring,True
CID4535,N2,N2,1.8614069037329983,first-ring,True
CID4535,N2,N3,0.9697236276435108,first-ring,True
CID4535,N2,N4,0.9403139766412077,first-ring,True
CID4535,N2,N5,1.1251620233313595,first-ring,True
CID4535,N2,N6,0.4322050946764906,first-ring,True
CID4535,N2,N7,1.4621921224859142,first-ring,True
CID4535,N2,N8,1.0520995542838687,first-ring,True
CID4535,N2,N9,1.0520995542838687,first-ring,True
CID4535,N3,N0,0.6686136873337611,first-ring,True
CID4535,N3,N1,1.158362566590975,first-ring,True
CID4535,N3,N2,0.9697236276435108,first-ring,True
CID4535,N3,N3,1.8985689759015814,first-ring,True
CID4535,N3,N4,0.22732865369347882,first-ring,True
CID4535,N3,N5,0.45465730738695764,first-ring,True
CID4535,N3,N6,1.0496409442143344,first-ring,True
CID4535,N3,N7,1.0510894740666223,first-ring,True
CID4535,N3,N8,0.6613197198355747,first-ring,True
CID4535,N3,N9,1.136643268467394,first-ring,True
CID4535,N4,N0,1.2168769109474453,first-ring,True
CID4535,N4,N1,0.7905824516983403,first-ring,True
CID4535,N4,N2,0.9403139766412077,first-ring,True
CID4535,N4,N3,0.22732865369347882,first-ring,True
CID4535,N4,N4,10.343453743053287,first-ring,True
CID4535,N4,N5,1.1492726381170317,first-ring,True
CID4535,N4,N6,0.6384847989539066,first-ring,True
CID4535,N4,N7,0.5560996636050154,first-ring,True
CID4535,N4,N8,1.3164395672976907,first-ring,True
CID4535,N4,N9,0.7052354824809058,first-ring,True
CID4535,N5,N0,0.5408341826433091,first-ring,True
CID4535,N5,N1,0.6148974624320425,first-ring,True
CID4535,N5,N2,1.1251620233313595,first-ring,True
CID4535,N5,N3,0.45465730738695764,first-ring,True
CID4535,N5,N4,1.1492726381170317,first-ring,True
CID4535,N5,N5,2.860411899313501,first-ring,True
CID4535,N5,N6,0.7378046565689587,first-ring,True
CID4535,N5,N7,0.84032838055869,first-ring,True
CID4535,N5,N8,2.0477948824630743,first-ring,True
CID4535,N5,N9,1.3582312995928556,first-ring,True
CID4535,N6,N0,0.180278060881103,first-ring,True
CID4535,N6,N1,0.9890414210547138,first-ring,True
CID4535,N6,N2,0.4322050946764906,first-ring,True
CID4535,N6,N3,1.0496409442143344,first-ring,True
CID4535,N6,N4,0.6384847989539066,first-ring,True
CID4535,N6,N5,0.7378046565689587,first-ring,True
CID4535,N6,N6,1.642088312568862,first-ring,True
CID4535,N6,N7,0.4338950461708268,first-ring,True
CID4535,N6,N8,0.3482644357930399,first-ring,True
CID4535,N6,N9,0.7429641296918186,first-ring,True
CID4535,N7,N0,0.9159288577023782,first-ring,True
CID4535,N7,N1,1.105115255062196,first-ring,True
CID4535,N7,N2,1.4621921224859142,first-ring,True
CID4535,N7,N3,1.0510894740666223,first-ring,True
CID4535,N7,N4,0.5560996636050154,first-ring,True
CID4535,N7,N5,0.84032838055869,first-ring,True
CID4535,N7,N6,0.4338950461708268,first-ring,True
CID4535,N7,N7,2.487499570534262,first-ring,True
CID4535,N7,N8,0.9302030736665711,first-ring,True
CID4535,N7,N9,0.9605357825904811,first-ring,True
CID4535,N8,N0,2.323128648172396,first-ring,True
CID4535,N8,N1,0.6827757537394756,first-ring,True
CID4535,N8,N2,1.0520995542838687,first-ring,True
CID4535,N8,N3,0.6613197198355747,first-ring,True
CID4535,N8,N4,1.3164395672976907,first-ring,True
CID4535,N8,N5,2.0477948824630743,first-ring,True
CID4535,N8,N6,0.3482644357930399,first-ring,True
CID4535,N8,N7,0.9302030736665711,first-ring,True
CID4535,N8,N8,3.0431979607660904,first-ring,True
CID4535,N8,N9,1.2822463317834651,first-ring,True
CID4535,N9,N0,1.6593776058374254,first-ring,True
CID4535,N9,N1,1.2876911145086605,first-ring,True
CID4535,N9,N2,1.0520995542838687,first-ring,True
CID4535,N9,N3,1.136643268467394,first-ring,True
CID4535,N9,N4,0.7052354824809058,first-ring,True
CID4535,N9,N5,1.3582312995928556,first-ring,True
CID4535,N9,N6,0.7429641296918186,first-ring,True
CID4535,N9,N7,0.9605357825904811,first-ring,True
CID4535,N9,N8,1.2822463317834651,first-ring,True
CID4535,N9,N9,1.0685386098195544,first-ring,True
