section,niche_a,niche_b,observed_edges,expected_edges_independence,enrichment_ratio,descriptive
1160920F,N2,N5,140,139.66336582011832,1.0024103255560608,True
1160920F,N2,N6,801,1068.868765004836,0.7493904080884766,True
1160920F,N2,N7,489,456.1260213200395,1.0720721404685978,True
1160920F,N2,N8,254,435.13615131239175,0.5837253448924519,True
1160920F,N2,N9,251,175.9919869872011,1.4262012964161477,True
1160920F,N3,N0,48,50.32825599071826,0.9537385918727713,True
1160920F,N3,N1,383,387.09924554563094,0.9894103499482338,True
1160920F,N3,N2,291,360.86430359302244,0.8063972997677975,True
1160920F,N3,N3,228,119.66345972261203,1.905343540363277,True
1160920F,N3,N4,23,73.88616305020341,0.3112896792918073,True
1160920F,N3,N5,42,92.62540730206659,0.45343930162737245,True
1160920F,N3,N6,1108,708.878839699053,1.563031561882126,True
1160920F,N3,N7,103,302.5049429229342,0.3404903040749326,True
1160920F,N3,N8,102,288.58436147869304,0.35344950598624497,True
1160920F,N3,N9,82,116.7187213401764,0.7025436798695834,True
1160920F,N4,N0,14,15.53758238639624,0.9010410790971926,True
1160920F,N4,N1,88,119.50714963153705,0.7363576176933389,True
1160920F,N4,N2,116,111.40777157905391,1.041220000686285,True
1160920F,N4,N3,23,73.88616305020341,0.3112896792918073,True
1160920F,N4,N4,39,11.40524664533341,3.419478877816054,True
1160920F,N4,N5,63,28.595763328154785,2.2031235633416903,True
1160920F,N4,N6,65,218.8485008466875,0.29700911703085053,True
1160920F,N4,N7,188,93.39078774801996,2.0130465170424254,True
1160920F,N4,N8,130,89.09315857731461,1.459146830979021,True
1160920F,N4,N9,47,36.03396766206787,1.304324864826801,True
1160920F,N5,N0,16,19.47827357135181,0.8214280357748146,True
1160920F,N5,N1,117,149.81693395837615,0.7809531066261594,True
1160920F,N5,N2,140,139.66336582011832,1.0024103255560608,True
1160920F,N5,N3,42,92.62540730206659,0.45343930162737245,True
1160920F,N5,N4,63,28.595763328154785,2.2031235633416903,True
1160920F,N5,N5,37,17.924155999169486,2.064253402041044,True
1160920F,N5,N6,77,274.35355540925315,0.2806597490057642,True
1160920F,N5,N7,184,117.07685710440184,1.5716171799514593,True
1160920F,N5,N8,241,111.68924952083644,2.1577725791329603,True
1160920F,N5,N9,49,45.17301743143292,1.084718329351719,True
1160920F,N6,N0,114,149.0707179680335,0.7647377134417906,True
1160920F,N6,N1,1086,1146.575841392428,0.9471680466258008,True
1160920F,N6,N2,801,1068.868765004836,0.7493904080884766,True
1160920F,N6,N3,1108,708.878839699053,1.563031561882126,True
1160920F,N6,N4,65,218.8485008466875,0.29700911703085053,True
1160920F,N6,N5,77,274.35355540925315,0.2806597490057642,True
1160920F,N6,N6,1973,1049.8384605833849,1.8793367494877482,True
1160920F,N6,N7,257,896.0101665099886,0.28682710264441513,True
1160920F,N6,N8,175,854.7778402635113,0.2047315591920948,True
1160920F,N6,N9,227,345.7171969896947,0.6566060409391973,True
1160920F,N7,N0,61,63.61401484285418,0.9589081926473029,True
1160920F,N7,N1,408,489.28651841897414,0.8338672426911857,True
1160920F,N7,N2,489,456.1260213200395,1.0720721404685978,True
1160920F,N7,N3,103,302.5049429229342,0.3404903040749326,True
1160920F,N7,N4,188,93.39078774801996,2.0130465170424254,True
1160920F,N7,N5,184,117.07685710440184,1.5716171799514593,True
1160920F,N7,N6,257,896.0101665099886,0.28682710264441513,True
1160920F,N7,N7,574,191.1804169479394,3.0023995614378576,True
1160920F,N7,N8,266,364.7654680882809,0.7292356960051449,True
1160920F,N7,N9,147,147.53037484832137,0.9964049786434376,True
1160920F,N8,N0,117,60.68664424831576,1.9279365575275997,True
1160920F,N8,N1,219,466.7706786333222,0.4691811418858174,True
1160920F,N8,N2,254,435.13615131239175,0.5837253448924519,True
1160920F,N8,N3,102,288.58436147869304,0.35344950598624497,True
1160920F,N8,N4,130,89.09315857731461,1.459146830979021,True
1160920F,N8,N5,241,111.68924952083644,2.1577725791329603,True
1160920F,N8,N6,175,854.7778402635113,0.2047315591920948,True
1160920F,N8,N7,266,364.7654680882809,0.7292356960051449,True
1160920F,N8,N8,727,173.98990026511805,4.178403452684494,True
1160920F,N8,N9,182,140.74136644822164,1.2931521456199397,True
1160920F,N9,N0,23,24.54487652343754,0.9370591038841707,True
1160920F,N9,N1,166,188.78665666431215,0.8792994321371459,True
1160920F,N9,N2,251,175.9919869872011,1.4262012964161477,True
1160920F,N9,N3,82,116.7187213401764,0.7025436798695834,True
1160920F,N9,N4,47,36.03396766206787,1.304324864826801,True
1160920F,N9,N5,49,45.17301743143292,1.084718329351719,True
1160920F,N9,N6,227,345.7171969896947,0.6566060409391973,True
1160920F,N9,N7,147,147.53037484832137,0.9964049786434376,True
1160920F,N9,N8,182,140.74136644822164,1.2931521456199397,True
1160920F,N9,N9,56,28.461612138879694,1.9675624742107203,True
CID4290,N0,N0,11,1.336412551847973,8.230991234547558,True
CID4290,N0,N1,25,38.75596400359122,0.6450620089770813,True
CID4290,N0,N2,20,21.77566334481697,0.9184565210850575,True
CID4290,N0,N3,15,12.184937972731518,1.2310280145511012,True
CID4290,N0,N4,4,5.974550231790937,0.6695064640541077,True
CID4290,N0,N5,3,5.345650207391892,0.5612039478100608,True
CID4290,N0,N6,37,37.02648893649384,0.9992845949682327,True
CID4290,N0,N7,28,34.27505132974801,0.8169207313687736,True
CID4290,N0,N8,30,23.426525908864466,1.2805996124524879,True
CID4290,N0,N9,9,9.276275359885929,0.9702169945190883,True
CID4290,N1,N0,25,38.75596400359122,0.6450620089770813,True
CID4290,N1,N1,332,280.98073902603636,1.1815756523056054,True
CID4290,N1,N2,280,315.74711849984607,0.886785606564883,True
CID4290,N1,N3,167,176.681600604607,0.9452031192185466,True
CID4290,N1,N4,60,86.63097836096858,0.692592893849077,True
CID4290,N1,N5,88,77.51192800718243,1.1353091357996632,True
CID4290,N1,N6,534,536.8840895791607,0.9946280963896297,True
CID4290,N1,N7,473,496.9882442813462,0.9517327732449011,True
CID4290,N1,N8,338,339.6846256785348,0.9950406184113582,True
CID4290,N1,N9,150,134.50599271834596,1.11519194772309,True
CID4290,N2,N0,20,21.77566334481697,0.9184565210850575,True
CID4290,N2,N1,280,315.74711849984607,0.886785606564883,True
CID4290,N2,N2,146,88.70380509579853,1.6459271374246303,True
CID4290,N2,N3,112,99.27140642490089,1.1282201394489997,True
CID4290,N2,N4,37,48.67501218253204,0.7601436207401332,True
CID4290,N2,N5,42,43.55132668963394,0.9643793471393104,True
CID4290,N2,N6,313,301.65698339437625,1.03760236702624,True
CID4290,N2,N7,151,279.24085936294705,0.5407518095470969,True
CID4290,N2,N8,226,190.85728461045463,1.1841308570499298,True
CID4290,N2,N9,69,75.57436102024712,0.9130080501972648,True
CID4290,N3,N0,15,12.184937972731518,1.2310280145511012,True
CID4290,N3,N1,167,176.681600604607,0.9452031192185466,True
CID4290,N3,N2,112,99.27140642490089,1.1282201394489997,True
CID4290,N3,N3,56,27.774490967255666,2.0162385717895024,True
CID4290,N3,N4,17,27.23692017434104,0.6241528003601197,True
CID4290,N3,N5,25,24.369875945463036,1.0258566787925842,True
CID4290,N3,N6,234,168.7972289751925,1.386278681354361,True
CID4290,N3,N7,70,156.25391047385122,0.4479887881699726,True
CID4290,N3,N8,112,106.79739752570568,1.0487146933804457,True
CID4290,N3,N9,44,42.28890237595056,1.0404620959143769,True
CID4290,N4,N0,4,5.974550231790937,0.6695064640541077,True
CID4290,N4,N1,60,86.63097836096858,0.692592893849077,True
CID4290,N4,N2,37,48.67501218253204,0.7601436207401332,True
CID4290,N4,N3,17,27.23692017434104,0.6241528003601197,True
CID4290,N4,N4,20,6.677438494354577,2.995160497084166,True
CID4290,N4,N5,13,11.949100463581875,1.087948004087925,True
CID4290,N4,N6,43,82.76509291686857,0.519542701935831,True
CID4290,N4,N7,124,76.61482061943673,1.6184858098922694,True
CID4290,N4,N8,55,52.365175560991155,1.050316348809716,True
CID4290,N4,N9,22,20.73520374562737,1.0609975320179503,True
CID4290,N5,N0,3,5.345650207391892,0.5612039478100608,True
CID4290,N5,N1,88,77.51192800718243,1.1353091357996632,True
