section,producer_celltype_minor,spearman,mean_absolute_difference,spots,nnls_mean_residual,nnls_unknown_spots,dominant_component_agreement
1142243F,B cells Memory,0.02772883305404719,0.033111048280514435,4784,29.2502538639089,0,
1142243F,B cells Naive,0.031782489954470194,0.036574071604630484,4784,29.2502538639089,0,
1142243F,CAFs MSC iCAF-like,0.02259055765816478,0.03692194244821571,4784,29.2502538639089,0,
1142243F,CAFs myCAF-like,0.6943559946454639,0.1559584987164393,4784,29.2502538639089,0,
1142243F,Cancer Basal SC,0.5420416950317961,0.46714844610996015,4784,29.2502538639089,0,
1142243F,Cancer Cycling,0.5476799802491213,0.055504313400625095,4784,29.2502538639089,0,
1142243F,Cancer Her2 SC,0.014705202677333277,0.03690971538108771,4784,29.2502538639089,0,
1142243F,Cancer LumA SC,0.02385603723766741,0.03996231426614353,4784,29.2502538639089,0,
1142243F,Cancer LumB SC,0.3585413243342691,0.03527863817682676,4784,29.2502538639089,0,
1142243F,Cycling PVL,0.19500201976649278,0.10904707303722877,4784,29.2502538639089,0,
1142243F,Cycling T-cells,0.16162510183215612,0.030601253472184585,4784,29.2502538639089,0,
1142243F,Cycling_Myeloid,0.07414258502833242,0.054953407971701486,4784,29.2502538639089,0,
1142243F,DCs,0.08222260305085094,0.029544011614143273,4784,29.2502538639089,0,
1142243F,Endothelial ACKR1,0.021763784518152637,0.038814058268226447,4784,29.2502538639089,0,
1142243F,Endothelial CXCL12,0.10812470058625384,0.03501513298744713,4784,29.2502538639089,0,
1142243F,Endothelial Lymphatic LYVE1,0.08545342673971659,0.02595307246358196,4784,29.2502538639089,0,
1142243F,Endothelial RGS5,0.2707743724718827,0.023905570647457526,4784,29.2502538639089,0,
1142243F,Luminal Progenitors,0.5075745413456878,0.030553732769529798,4784,29.2502538639089,0,
1142243F,Macrophage,0.30480438685974276,0.03324790581571845,4784,29.2502538639089,0,
1142243F,Mature Luminal,,0.03086675009706651,4784,29.2502538639089,0,
1142243F,Monocyte,0.05659818645420317,0.03920067296251059,4784,29.2502538639089,0,
1142243F,Myoepithelial,0.42595364987589657,0.032993186470165387,4784,29.2502538639089,0,
1142243F,NK cells,0.014768023051889349,0.029738270290220893,4784,29.2502538639089,0,
1142243F,NKT cells,0.046702365769931725,0.03481916976501487,4784,29.2502538639089,0,
1142243F,PVL Differentiated,0.04918211177274262,0.04017066142332099,4784,29.2502538639089,0,
1142243F,PVL Immature,0.00872679703208066,0.03491725435597903,4784,29.2502538639089,0,
1142243F,Plasmablasts,0.6484684583313922,0.027879001228123104,4784,29.2502538639089,0,
1142243F,T cells CD4+,0.012179163768656132,0.03995556474179726,4784,29.2502538639089,0,
1142243F,T cells CD8+,,0.03921822922541723,4784,29.2502538639089,0,
1142243F,__DOMINANT_COMPONENT_AGREEMENT__,,,4784,29.2502538639089,0,0.033235785953177256
