section,transferred_label,tangram_dominant,spots
CID4465,Macrophage,Plasmablasts,2
CID4465,Myoepithelial,B cells Memory,3
CID4465,Myoepithelial,B cells Naive,2
CID4465,Myoepithelial,CAFs MSC iCAF-like,2
CID4465,Myoepithelial,CAFs myCAF-like,1
CID4465,Myoepithelial,Cancer Basal SC,1
CID4465,Myoepithelial,Cancer Cycling,3
CID4465,Myoepithelial,Cancer Her2 SC,1
CID4465,Myoepithelial,Cycling_Myeloid,3
CID4465,Myoepithelial,DCs,1
CID4465,Myoepithelial,Endothelial ACKR1,1
CID4465,Myoepithelial,Endothelial Lymphatic LYVE1,2
CID4465,Myoepithelial,Luminal Progenitors,2
CID4465,Myoepithelial,Mature Luminal,6
CID4465,Myoepithelial,Monocyte,2
CID4465,Myoepithelial,Myoepithelial,5
CID4465,Myoepithelial,NK cells,1
CID4465,Myoepithelial,PVL Differentiated,1
CID4465,Myoepithelial,PVL Immature,1
CID4465,PVL Immature,Cycling PVL,2
CID4465,PVL Immature,Cycling_Myeloid,1
CID4465,PVL Immature,Endothelial CXCL12,1
CID4465,PVL Immature,Endothelial RGS5,3
CID4465,PVL Immature,NK cells,1
CID4465,PVL Immature,PVL Immature,4
CID4465,Plasmablasts,Plasmablasts,3
CID4465,Plasmablasts,T cells CD4+,1
CID4465,T cells CD8+,DCs,1
CID44971,B cells Memory,Endothelial ACKR1,1
CID44971,CAFs MSC iCAF-like,B cells Memory,12
CID44971,CAFs MSC iCAF-like,B cells Naive,17
CID44971,CAFs MSC iCAF-like,CAFs MSC iCAF-like,15
CID44971,CAFs MSC iCAF-like,CAFs myCAF-like,12
CID44971,CAFs MSC iCAF-like,Cancer Basal SC,1
CID44971,CAFs MSC iCAF-like,Cancer Her2 SC,2
CID44971,CAFs MSC iCAF-like,Cancer LumA SC,5
CID44971,CAFs MSC iCAF-like,Cancer LumB SC,3
CID44971,CAFs MSC iCAF-like,Cycling PVL,4
CID44971,CAFs MSC iCAF-like,Cycling T-cells,14
CID44971,CAFs MSC iCAF-like,Cycling_Myeloid,12
CID44971,CAFs MSC iCAF-like,DCs,13
CID44971,CAFs MSC iCAF-like,Endothelial ACKR1,16
CID44971,CAFs MSC iCAF-like,Endothelial CXCL12,8
CID44971,CAFs MSC iCAF-like,Endothelial Lymphatic LYVE1,17
CID44971,CAFs MSC iCAF-like,Endothelial RGS5,15
CID44971,CAFs MSC iCAF-like,Luminal Progenitors,2
CID44971,CAFs MSC iCAF-like,Macrophage,7
CID44971,CAFs MSC iCAF-like,Monocyte,10
CID44971,CAFs MSC iCAF-like,NK cells,12
CID44971,CAFs MSC iCAF-like,NKT cells,13
CID44971,CAFs MSC iCAF-like,PVL Differentiated,2
CID44971,CAFs MSC iCAF-like,PVL Immature,7
CID44971,CAFs MSC iCAF-like,Plasmablasts,20
CID44971,CAFs MSC iCAF-like,T cells CD4+,1
CID44971,CAFs MSC iCAF-like,T cells CD8+,4
CID44971,CAFs myCAF-like,B cells Memory,5
CID44971,CAFs myCAF-like,B cells Naive,4
CID44971,CAFs myCAF-like,CAFs MSC iCAF-like,3
CID44971,CAFs myCAF-like,CAFs myCAF-like,23
CID44971,CAFs myCAF-like,Cancer Basal SC,2
CID44971,CAFs myCAF-like,Cancer Cycling,1
CID44971,CAFs myCAF-like,Cancer Her2 SC,2
CID44971,CAFs myCAF-like,Cancer LumA SC,1
CID44971,CAFs myCAF-like,Cancer LumB SC,4
CID44971,CAFs myCAF-like,Cycling PVL,10
CID44971,CAFs myCAF-like,Cycling T-cells,7
CID44971,CAFs myCAF-like,Cycling_Myeloid,1
CID44971,CAFs myCAF-like,DCs,6
CID44971,CAFs myCAF-like,Endothelial ACKR1,6
CID44971,CAFs myCAF-like,Endothelial CXCL12,5
CID44971,CAFs myCAF-like,Endothelial Lymphatic LYVE1,9
CID44971,CAFs myCAF-like,Endothelial RGS5,10
CID44971,CAFs myCAF-like,Macrophage,4
CID44971,CAFs myCAF-like,Monocyte,7
CID44971,CAFs myCAF-like,Myoepithelial,3
CID44971,CAFs myCAF-like,NK cells,17
CID44971,CAFs myCAF-like,NKT cells,8
CID44971,CAFs myCAF-like,PVL Differentiated,2
CID44971,CAFs myCAF-like,PVL Immature,5
CID44971,CAFs myCAF-like,Plasmablasts,13
CID44971,CAFs myCAF-like,T cells CD8+,3
CID44971,Cancer Basal SC,B cells Memory,11
CID44971,Cancer Basal SC,B cells Naive,6
CID44971,Cancer Basal SC,CAFs MSC iCAF-like,1
CID44971,Cancer Basal SC,Cancer Basal SC,8
CID44971,Cancer Basal SC,Cancer Cycling,20
CID44971,Cancer Basal SC,Cancer Her2 SC,21
CID44971,Cancer Basal SC,Cancer LumA SC,1
CID44971,Cancer Basal SC,Cancer LumB SC,2
CID44971,Cancer Basal SC,Cycling PVL,3
CID44971,Cancer Basal SC,Cycling T-cells,3
CID44971,Cancer Basal SC,Cycling_Myeloid,24
CID44971,Cancer Basal SC,DCs,9
CID44971,Cancer Basal SC,Endothelial ACKR1,3
CID44971,Cancer Basal SC,Endothelial CXCL12,4
CID44971,Cancer Basal SC,Endothelial Lymphatic LYVE1,4
CID44971,Cancer Basal SC,Endothelial RGS5,7
CID44971,Cancer Basal SC,Luminal Progenitors,9
CID44971,Cancer Basal SC,Macrophage,1
CID44971,Cancer Basal SC,Mature Luminal,3
CID44971,Cancer Basal SC,Monocyte,6
CID44971,Cancer Basal SC,Myoepithelial,8
CID44971,Cancer Basal SC,NK cells,9
CID44971,Cancer Basal SC,NKT cells,18
CID44971,Cancer Basal SC,PVL Differentiated,2
CID44971,Cancer Basal SC,PVL Immature,4
CID44971,Cancer Basal SC,Plasmablasts,1
CID44971,Cancer Basal SC,T cells CD4+,1
CID44971,Cancer Basal SC,T cells CD8+,7
CID44971,Cancer Cycling,B cells Memory,2
CID44971,Cancer Cycling,B cells Naive,5
CID44971,Cancer Cycling,Cancer Cycling,8
CID44971,Cancer Cycling,Cancer Her2 SC,7
CID44971,Cancer Cycling,Cancer LumA SC,1
CID44971,Cancer Cycling,Cancer LumB SC,1
CID44971,Cancer Cycling,Cycling PVL,2
CID44971,Cancer Cycling,Cycling_Myeloid,5
CID44971,Cancer Cycling,DCs,1
CID44971,Cancer Cycling,Endothelial ACKR1,3
CID44971,Cancer Cycling,Endothelial Lymphatic LYVE1,1
CID44971,Cancer Cycling,Endothelial RGS5,1
CID44971,Cancer Cycling,Monocyte,1
CID44971,Cancer Cycling,NK cells,1
CID44971,Cancer Cycling,NKT cells,3
CID44971,Cancer Cycling,PVL Immature,2
CID44971,Cancer Cycling,T cells CD8+,4
CID44971,Cancer LumB SC,CAFs myCAF-like,1
CID44971,Cancer LumB SC,Endothelial ACKR1,1
CID44971,Cancer LumB SC,Plasmablasts,1
CID44971,DCs,Monocyte,1
CID44971,Endothelial ACKR1,CAFs myCAF-like,1
CID44971,Endothelial ACKR1,Cycling_Myeloid,1
CID44971,Endothelial ACKR1,Endothelial ACKR1,3
CID44971,Endothelial ACKR1,Endothelial Lymphatic LYVE1,1
CID44971,Endothelial Lymphatic LYVE1,Cancer Her2 SC,1
CID44971,Endothelial Lymphatic LYVE1,Cancer LumA SC,1
CID44971,Endothelial Lymphatic LYVE1,Cycling PVL,5
CID44971,Endothelial Lymphatic LYVE1,Cycling_Myeloid,1
CID44971,Endothelial Lymphatic LYVE1,Endothelial ACKR1,11
CID44971,Endothelial Lymphatic LYVE1,Endothelial CXCL12,1
CID44971,Endothelial Lymphatic LYVE1,Endothelial Lymphatic LYVE1,1
CID44971,Endothelial Lymphatic LYVE1,Endothelial RGS5,5
CID44971,Endothelial Lymphatic LYVE1,NK cells,2
CID44971,Endothelial Lymphatic LYVE1,PVL Immature,5
CID44971,Endothelial Lymphatic LYVE1,Plasmablasts,2
CID44971,Endothelial RGS5,Endothelial CXCL12,1
CID44971,Luminal Progenitors,B cells Memory,2
CID44971,Luminal Progenitors,B cells Naive,3
CID44971,Luminal Progenitors,CAFs MSC iCAF-like,1
CID44971,Luminal Progenitors,Cancer Basal SC,2
CID44971,Luminal Progenitors,Cancer Cycling,2
CID44971,Luminal Progenitors,Cancer Her2 SC,9
CID44971,Luminal Progenitors,Cancer LumA SC,1
CID44971,Luminal Progenitors,Cancer LumB SC,1
CID44971,Luminal Progenitors,Cycling PVL,1
CID44971,Luminal Progenitors,Cycling_Myeloid,1
CID44971,Luminal Progenitors,DCs,2
CID44971,Luminal Progenitors,Endothelial ACKR1,2
CID44971,Luminal Progenitors,Endothelial CXCL12,4
CID44971,Luminal Progenitors,Luminal Progenitors,8
CID44971,Luminal Progenitors,Mature Luminal,1
CID44971,Luminal Progenitors,Monocyte,1
CID44971,Luminal Progenitors,NK cells,2
CID44971,Luminal Progenitors,NKT cells,1
CID44971,Luminal Progenitors,PVL Immature,2
CID44971,Luminal Progenitors,T cells CD8+,1
CID44971,Macrophage,B cells Memory,3
CID44971,Macrophage,Cancer Basal SC,1
CID44971,Macrophage,Cycling T-cells,8
CID44971,Macrophage,Cycling_Myeloid,3
CID44971,Macrophage,DCs,6
CID44971,Macrophage,Endothelial Lymphatic LYVE1,3
CID44971,Macrophage,Monocyte,4
CID44971,Macrophage,NK cells,2
CID44971,Macrophage,Plasmablasts,2
CID44971,Mature Luminal,Cancer LumA SC,1
CID44971,Mature Luminal,Endothelial ACKR1,1
CID44971,Mature Luminal,Endothelial RGS5,1
CID44971,Mature Luminal,Mature Luminal,2
CID44971,Myoepithelial,B cells Memory,6
CID44971,Myoepithelial,B cells Naive,9
CID44971,Myoepithelial,CAFs MSC iCAF-like,9
CID44971,Myoepithelial,CAFs myCAF-like,2
CID44971,Myoepithelial,Cancer Basal SC,7
CID44971,Myoepithelial,Cancer Cycling,15
CID44971,Myoepithelial,Cancer Her2 SC,14
CID44971,Myoepithelial,Cancer LumA SC,9
CID44971,Myoepithelial,Cancer LumB SC,4
CID44971,Myoepithelial,Cycling PVL,2
CID44971,Myoepithelial,Cycling T-cells,2
CID44971,Myoepithelial,Cycling_Myeloid,35
CID44971,Myoepithelial,DCs,8
CID44971,Myoepithelial,Endothelial ACKR1,6
CID44971,Myoepithelial,Endothelial CXCL12,9
CID44971,Myoepithelial,Endothelial Lymphatic LYVE1,13
CID44971,Myoepithelial,Endothelial RGS5,13
CID44971,Myoepithelial,Luminal Progenitors,41
CID44971,Myoepithelial,Macrophage,2
CID44971,Myoepithelial,Mature Luminal,46
CID44971,Myoepithelial,Monocyte,10
CID44971,Myoepithelial,Myoepithelial,35
CID44971,Myoepithelial,NK cells,16
CID44971,Myoepithelial,NKT cells,11
CID44971,Myoepithelial,PVL Differentiated,7
CID44971,Myoepithelial,PVL Immature,5
CID44971,Myoepithelial,Plasmablasts,2
CID44971,Myoepithelial,T cells CD4+,2
CID44971,Myoepithelial,T cells CD8+,2
CID44971,PVL Differentiated,B cells Memory,1
CID44971,PVL Differentiated,Cycling T-cells,1
CID44971,PVL Differentiated,DCs,1
CID44971,PVL Differentiated,Endothelial ACKR1,1
CID44971,PVL Immature,Cycling PVL,1
CID44971,PVL Immature,Endothelial ACKR1,2
CID44971,PVL Immature,Endothelial CXCL12,2
CID44971,PVL Immature,Endothelial Lymphatic LYVE1,3
CID44971,PVL Immature,Monocyte,1
CID44971,PVL Immature,PVL Differentiated,1
CID44971,PVL Immature,PVL Immature,2
CID44971,PVL Immature,Plasmablasts,1
CID44971,Plasmablasts,Cancer LumB SC,1
CID44971,Plasmablasts,Endothelial ACKR1,1
CID44971,Plasmablasts,Plasmablasts,1
CID44971,T cells CD4+,B cells Memory,1
CID44971,T cells CD4+,B cells Naive,1
CID44971,T cells CD4+,Cycling T-cells,9
CID44971,T cells CD4+,DCs,3
CID44971,T cells CD4+,Endothelial Lymphatic LYVE1,1
CID44971,T cells CD4+,NK cells,2
CID44971,T cells CD8+,Cycling T-cells,1
CID4535,B cells Memory,B cells Memory,2
CID4535,B cells Memory,B cells Naive,1
CID4535,CAFs MSC iCAF-like,B cells Memory,2
CID4535,CAFs MSC iCAF-like,B cells Naive,8
CID4535,CAFs MSC iCAF-like,CAFs MSC iCAF-like,4
CID4535,CAFs MSC iCAF-like,CAFs myCAF-like,3
CID4535,CAFs MSC iCAF-like,Cancer Basal SC,1
CID4535,CAFs MSC iCAF-like,Cycling PVL,2
CID4535,CAFs MSC iCAF-like,Cycling T-cells,5
CID4535,CAFs MSC iCAF-like,Cycling_Myeloid,1
CID4535,CAFs MSC iCAF-like,DCs,8
CID4535,CAFs MSC iCAF-like,Endothelial ACKR1,3
CID4535,CAFs MSC iCAF-like,Endothelial CXCL12,1
CID4535,CAFs MSC iCAF-like,Endothelial Lymphatic LYVE1,4
CID4535,CAFs MSC iCAF-like,Endothelial RGS5,5
CID4535,CAFs MSC iCAF-like,Luminal Progenitors,1
CID4535,CAFs MSC iCAF-like,Monocyte,2
CID4535,CAFs MSC iCAF-like,Myoepithelial,3
CID4535,CAFs MSC iCAF-like,NK cells,2
CID4535,CAFs MSC iCAF-like,NKT cells,2
CID4535,CAFs MSC iCAF-like,PVL Differentiated,3
CID4535,CAFs MSC iCAF-like,PVL Immature,6
CID4535,CAFs MSC iCAF-like,Plasmablasts,4
CID4535,CAFs myCAF-like,B cells Memory,3
CID4535,CAFs myCAF-like,B cells Naive,3
CID4535,CAFs myCAF-like,CAFs MSC iCAF-like,3
CID4535,CAFs myCAF-like,CAFs myCAF-like,20
CID4535,CAFs myCAF-like,Cancer Basal SC,1
CID4535,CAFs myCAF-like,Cancer LumA SC,1
CID4535,CAFs myCAF-like,Cycling PVL,7
CID4535,CAFs myCAF-like,Cycling T-cells,6
CID4535,CAFs myCAF-like,Cycling_Myeloid,11
CID4535,CAFs myCAF-like,DCs,7
CID4535,CAFs myCAF-like,Endothelial ACKR1,4
CID4535,CAFs myCAF-like,Endothelial CXCL12,4
CID4535,CAFs myCAF-like,Endothelial Lymphatic LYVE1,8
CID4535,CAFs myCAF-like,Endothelial RGS5,5
CID4535,CAFs myCAF-like,Luminal Progenitors,1
CID4535,CAFs myCAF-like,Monocyte,2
CID4535,CAFs myCAF-like,Myoepithelial,20
CID4535,CAFs myCAF-like,NK cells,4
CID4535,CAFs myCAF-like,NKT cells,3
CID4535,CAFs myCAF-like,PVL Differentiated,5
CID4535,CAFs myCAF-like,PVL Immature,8
CID4535,CAFs myCAF-like,Plasmablasts,5
CID4535,CAFs myCAF-like,T cells CD8+,1
CID4535,Cancer Basal SC,Myoepithelial,1
CID4535,Cancer Her2 SC,B cells Naive,2
CID4535,Cancer Her2 SC,Cancer Cycling,1
CID4535,Cancer Her2 SC,Cancer Her2 SC,4
CID4535,Cancer Her2 SC,Cancer LumA SC,1
CID4535,Cancer Her2 SC,Cycling_Myeloid,3
CID4535,Cancer Her2 SC,DCs,1
CID4535,Cancer Her2 SC,Endothelial CXCL12,1
CID4535,Cancer Her2 SC,Endothelial Lymphatic LYVE1,1
CID4535,Cancer Her2 SC,Luminal Progenitors,3
CID4535,Cancer Her2 SC,Mature Luminal,5
CID4535,Cancer Her2 SC,Monocyte,1
CID4535,Cancer Her2 SC,Myoepithelial,2
CID4535,Cancer Her2 SC,NK cells,1
CID4535,Cancer Her2 SC,NKT cells,2
CID4535,Cancer LumB SC,B cells Memory,36
CID4535,Cancer LumB SC,B cells Naive,42
CID4535,Cancer LumB SC,CAFs MSC iCAF-like,6
CID4535,Cancer LumB SC,CAFs myCAF-like,5
CID4535,Cancer LumB SC,Cancer Basal SC,16
CID4535,Cancer LumB SC,Cancer Cycling,23
CID4535,Cancer LumB SC,Cancer Her2 SC,70
CID4535,Cancer LumB SC,Cancer LumA SC,20
CID4535,Cancer LumB SC,Cancer LumB SC,16
CID4535,Cancer LumB SC,Cycling PVL,5
CID4535,Cancer LumB SC,Cycling T-cells,13
CID4535,Cancer LumB SC,Cycling_Myeloid,63
CID4535,Cancer LumB SC,DCs,11
CID4535,Cancer LumB SC,Endothelial ACKR1,12
CID4535,Cancer LumB SC,Endothelial CXCL12,34
CID4535,Cancer LumB SC,Endothelial Lymphatic LYVE1,23
CID4535,Cancer LumB SC,Endothelial RGS5,27
CID4535,Cancer LumB SC,Luminal Progenitors,45
CID4535,Cancer LumB SC,Macrophage,1
CID4535,Cancer LumB SC,Mature Luminal,88
CID4535,Cancer LumB SC,Monocyte,33
CID4535,Cancer LumB SC,Myoepithelial,22
CID4535,Cancer LumB SC,NK cells,44
CID4535,Cancer LumB SC,NKT cells,29
CID4535,Cancer LumB SC,PVL Differentiated,12
CID4535,Cancer LumB SC,PVL Immature,39
CID4535,Cancer LumB SC,Plasmablasts,13
CID4535,Cancer LumB SC,T cells CD4+,10
CID4535,Cancer LumB SC,T cells CD8+,14
CID4535,DCs,B cells Memory,3
CID4535,DCs,B cells Naive,2
CID4535,DCs,Cycling T-cells,5
CID4535,DCs,DCs,3
CID4535,DCs,Endothelial RGS5,1
CID4535,DCs,NK cells,1
CID4535,DCs,Plasmablasts,1
CID4535,Endothelial ACKR1,Cycling PVL,1
CID4535,Endothelial ACKR1,Cycling T-cells,1
CID4535,Endothelial ACKR1,Endothelial ACKR1,1
CID4535,Endothelial Lymphatic LYVE1,Cycling T-cells,1
CID4535,Endothelial Lymphatic LYVE1,Endothelial ACKR1,3
CID4535,Endothelial Lymphatic LYVE1,Endothelial CXCL12,2
CID4535,Endothelial Lymphatic LYVE1,Endothelial RGS5,9
CID4535,Endothelial Lymphatic LYVE1,PVL Differentiated,2
CID4535,Endothelial RGS5,Endothelial CXCL12,1
CID4535,Endothelial RGS5,Endothelial RGS5,1
CID4535,Endothelial RGS5,PVL Immature,1
CID4535,Macrophage,B cells Memory,1
CID4535,Macrophage,B cells Naive,6
CID4535,Macrophage,CAFs MSC iCAF-like,1
CID4535,Macrophage,CAFs myCAF-like,1
CID4535,Macrophage,Cancer Basal SC,1
CID4535,Macrophage,Cancer Cycling,1
CID4535,Macrophage,Cycling PVL,2
CID4535,Macrophage,Cycling T-cells,14
CID4535,Macrophage,Cycling_Myeloid,3
CID4535,Macrophage,DCs,8
CID4535,Macrophage,Endothelial Lymphatic LYVE1,1
CID4535,Macrophage,Endothelial RGS5,2
CID4535,Macrophage,Macrophage,2
CID4535,Macrophage,Mature Luminal,1
CID4535,Macrophage,Monocyte,2
CID4535,Macrophage,NK cells,4
CID4535,Macrophage,NKT cells,4
CID4535,Macrophage,PVL Immature,2
CID4535,Macrophage,T cells CD8+,1
CID4535,Myoepithelial,Myoepithelial,2
CID4535,PVL Immature,Cycling PVL,2
CID4535,Plasmablasts,B cells Naive,1
CID4535,Plasmablasts,Luminal Progenitors,2
CID4535,Plasmablasts,NKT cells,1
CID4535,Plasmablasts,Plasmablasts,4
CID4535,T cells CD4+,B cells Naive,4
CID4535,T cells CD4+,CAFs myCAF-like,2
CID4535,T cells CD4+,DCs,1
CID4535,T cells CD4+,Endothelial Lymphatic LYVE1,1
CID4535,T cells CD4+,Myoepithelial,1
CID4535,T cells CD4+,PVL Differentiated,1
CID4535,T cells CD4+,T cells CD8+,1
