ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000108700,7069.722897786377,9.822491290356563,0.3707526416157543,26.493381807206465,1.1552982686325705e-154,5.677135692060452e-151,CCL8
ENSG00000172183,3031.6515320668723,5.817667110994657,0.22589844138675283,25.753462818428357,2.948030886789514e-146,7.243311888841836e-143,ISG20
ENSG00000146425,915.7674276217397,2.7534658482532657,0.10818504314825285,25.451446596735337,6.803924648826132e-143,1.1144828574777204e-139,DYNLT1
ENSG00000136689,885.1821738264193,6.68840421790031,0.2713318732972834,24.65027103753562,3.6555738862402656e-134,4.490872519246166e-131,IL1RN
ENSG00000138385,359.38381537614174,3.422983989607213,0.13912002404988394,24.60453851258566,1.12951948657097e-133,1.1100917514019492e-130,SSB
ENSG00000185201,473.02960255720757,4.943980604208604,0.20515586775385203,24.09865561408382,2.582166349641701e-128,2.1147942403565534e-125,IFITM2
ENSG00000034510,2555.7323905730204,2.2266388309739487,0.09443208267317052,23.57926213149769,6.29160085492155e-123,4.416703800154928e-120,TMSB10
ENSG00000122643,215.5177535869529,5.8585483684385995,0.2568590461300207,22.808417522009456,3.782921736042036e-115,2.3236596763638208e-112,NT5C3A
ENSG00000101608,1192.116446090079,1.971885512436033,0.08677657034236272,22.723708769040794,2.6119654930954793e-114,1.4261331592301317e-111,MYL12A
ENSG00000185507,682.112458102749,3.4876172737782904,0.15510163863232576,22.486011782543557,5.688886989399707e-112,2.795519066591016e-109,IRF7
ENSG00000089009,562.6810184751178,-1.6756069721993465,0.0757695261174048,-22.114523583043074,2.2911481030021057e-108,1.0235183434683953e-105,RPL6
ENSG00000188313,764.3493836197748,3.0354239685441056,0.13960254490119198,21.743328323223054,7.98902756820898e-105,3.2715067891815775e-102,PLSCR1
ENSG00000135114,454.6845672038803,4.461043998675944,0.2061924348106272,21.635342745591462,8.352636059156631e-104,3.1572964303612064e-101,OASL
ENSG00000175550,284.7699601535942,1.647791952997801,0.07734787655431875,21.303648224145018,1.0501514539532125e-100,3.686031603375776e-98,DRAP1
ENSG00000183726,368.2758230903288,1.7755765784260724,0.08354439260629729,21.253090997901825,3.0866160255209066e-100,1.011175409960649e-97,TMEM50A
ENSG00000177409,347.0843861837102,4.011513697949934,0.19066650224949896,21.039425649612113,2.8581866176002628e-98,8.778205649304807e-96,SAMD9L
ENSG00000100220,148.9410677237267,3.5404511915998618,0.16873937013278026,20.98177318555768,9.623729587008136e-98,2.7818239523857636e-95,RTCB
ENSG00000132475,4583.632135134661,1.1372460603848682,0.05421343596550679,20.977199473363743,1.0595220912727114e-97,2.8924953091745023e-95,H3F3B
ENSG00000124357,231.18139966993613,2.4874681033589274,0.1196991540065009,20.780999865912438,6.4305392246594245e-96,1.6631405131566533e-93,NAGK
ENSG00000110077,240.65782370702559,2.873554909101946,0.13840651732202294,20.761702300594717,9.610148633837832e-96,2.361213519333955e-93,MS4A6A
ENSG00000130066,3848.0877770541047,2.0500131098920558,0.09990932686200918,20.518736080801073,1.4647102540156142e-93,3.427421994396537e-91,SAT1
ENSG00000119917,1718.0947418202409,7.844598039792435,0.3832403076001262,20.46913616397967,4.0574869586919186e-93,9.062950415914586e-91,IFIT3
ENSG00000115956,395.52915377965934,2.1463410910830825,0.1056547300549332,20.314671098654387,9.53867222830811e-92,2.037958057822002e-89,PLEK
ENSG00000106211,666.5981119092119,3.186659216837547,0.15809752695264262,20.156287566674564,2.3701188171138346e-90,4.852818278040576e-88,HSPB1
ENSG00000123609,235.26085129861457,2.9374883378419607,0.14576442374478965,20.152299596676873,2.5689871478018634e-90,5.049601137719342e-88,NMI
ENSG00000109861,446.84536697688753,4.514254111809688,0.2262637239052013,19.95129415310536,1.4605849305352092e-88,2.7605055187115454e-86,CTSC
ENSG00000131203,1535.1644887459884,6.4286090560783595,0.3227853856314071,19.91604744899843,2.9540957556304364e-88,5.376454275247394e-86,IDO1
ENSG00000136810,1229.074392675694,2.1431191254020714,0.10975247987476931,19.52684010281527,6.493513590484516e-85,1.1396116351300324e-82,TXN
ENSG00000041357,471.42805628491493,2.0869415152118984,0.10755976995252826,19.402621594793057,7.33345674473399e-84,1.2426416015042352e-81,PSMA4
ENSG00000147604,1073.1463585796198,-1.2704806642877446,0.06583143129021024,-19.298998052875042,5.476072441829452e-83,8.969806659716643e-81,RPL7
ENSG00000107201,200.55297859170946,5.182727362579694,0.2711895126552952,19.11109066067529,2.0415712884265524e-81,3.2362197778477677e-79,DDX58
ENSG00000144848,238.4865487225798,1.7125281872170328,0.08981796774433248,19.066654815568274,4.7791618182599735e-81,7.339000367165472e-79,ATG3
ENSG00000104951,414.79340825924965,3.109527392646826,0.1641166620237456,18.94705482248302,4.6699945934803956e-80,6.954046494655352e-78,IL4I1
ENSG00000173193,134.87702990974924,2.904325048925045,0.15361871638632085,18.906062472369833,1.0167089355607093e-79,1.4694434439250958e-77,PARP14
ENSG00000185338,81.41041541504339,4.421855872960772,0.23501036434343212,18.81557813551958,5.62910566995112e-79,7.903264360611374e-77,SOCS1
ENSG00000125148,426.5718414843064,5.792591245622587,0.3083698955428537,18.784554943099494,1.0102971783446115e-78,1.3790556484403947e-76,MT2A
ENSG00000105402,170.17322749218414,2.4141576449141704,0.12874831355661265,18.750984601073064,1.9003986539141664e-78,2.523934860901139e-76,NAPA
ENSG00000168899,285.96003820296903,4.249677304142908,0.22748801865383267,18.68088407156783,7.083619507037197e-78,9.16023848883705e-76,VAMP5
