resource,release,pathway,full_genes,matched_genes,coverage_fraction,boundary_activity_mean_log2_CPM_plus_1,core_activity_mean_log2_CPM_plus_1,boundary_minus_core,method
MSigDB Hallmark,2024.1.Hs,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,96,0.9896907216494846,5.6362810873159015,5.665391506832607,-0.02911041951670512,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,196,0.98,5.203307754990919,5.151796816248766,0.051510938742152845,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_KRAS_SIGNALING_DN,200,199,0.995,1.9532938067162895,1.9580842212876237,-0.004790414571334223,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_KRAS_SIGNALING_UP,200,199,0.995,3.5461789012327145,3.4932576054207427,0.0529212958119718,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_MITOTIC_SPINDLE,199,199,1.0,5.047549950010784,5.12213367386641,-0.07458372385562573,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_MTORC1_SIGNALING,200,197,0.985,5.609804538553228,5.62617365032664,-0.016369111773411937,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_MYC_TARGETS_V1,200,195,0.975,6.810247867299915,6.846313267542607,-0.036065400242692114,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_MYC_TARGETS_V2,58,57,0.9827586206896551,5.3543140196842085,5.385024008272669,-0.030709988588460746,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_MYOGENESIS,200,198,0.99,3.70990553162359,3.734446547147698,-0.024541015524107923,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_NOTCH_SIGNALING,32,32,1.0,4.468847341245272,4.553779999491628,-0.08493265824635543,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,200,1.0,6.531733379536036,6.570903436011244,-0.03917005647520799,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_P53_PATHWAY,200,196,0.98,4.9972915536267095,4.985847909357728,0.011443644268981146,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
