partition,method,donors_A,donors_B,n_genes,discoveries,pvalue_nonfinite
23,donor_mean_welch,101|1016|1244|1488,1015|1039|107|1256,1000,0,0
23,exact_donor_randomization,101|1016|1244|1488,1015|1039|107|1256,1000,0,0
24,cell_welch,101|1016|1256|1488,1015|1039|107|1244,1000,145,0
24,donor_mean_welch,101|1016|1256|1488,1015|1039|107|1244,1000,0,0
24,exact_donor_randomization,101|1016|1256|1488,1015|1039|107|1244,1000,0,0
25,cell_welch,101|1039|107|1244,1015|1016|1256|1488,1000,339,0
25,donor_mean_welch,101|1039|107|1244,1015|1016|1256|1488,1000,0,0
25,exact_donor_randomization,101|1039|107|1244,1015|1016|1256|1488,1000,0,0
26,cell_welch,101|1039|107|1256,1015|1016|1244|1488,1000,321,0
26,donor_mean_welch,101|1039|107|1256,1015|1016|1244|1488,1000,0,0
26,exact_donor_randomization,101|1039|107|1256,1015|1016|1244|1488,1000,0,0
27,cell_welch,101|1039|107|1488,1015|1016|1244|1256,1000,229,0
27,donor_mean_welch,101|1039|107|1488,1015|1016|1244|1256,1000,0,0
27,exact_donor_randomization,101|1039|107|1488,1015|1016|1244|1256,1000,0,0
28,cell_welch,101|1039|1244|1256,1015|1016|107|1488,1000,256,0
28,donor_mean_welch,101|1039|1244|1256,1015|1016|107|1488,1000,0,0
28,exact_donor_randomization,101|1039|1244|1256,1015|1016|107|1488,1000,0,0
29,cell_welch,101|1039|1244|1488,1015|1016|107|1256,1000,232,0
29,donor_mean_welch,101|1039|1244|1488,1015|1016|107|1256,1000,0,0
29,exact_donor_randomization,101|1039|1244|1488,1015|1016|107|1256,1000,0,0
30,cell_welch,101|1039|1256|1488,1015|1016|107|1244,1000,174,0
30,donor_mean_welch,101|1039|1256|1488,1015|1016|107|1244,1000,0,0
30,exact_donor_randomization,101|1039|1256|1488,1015|1016|107|1244,1000,0,0
31,cell_welch,101|107|1244|1256,1015|1016|1039|1488,1000,308,0
31,donor_mean_welch,101|107|1244|1256,1015|1016|1039|1488,1000,0,0
31,exact_donor_randomization,101|107|1244|1256,1015|1016|1039|1488,1000,0,0
32,cell_welch,101|107|1244|1488,1015|1016|1039|1256,1000,266,0
32,donor_mean_welch,101|107|1244|1488,1015|1016|1039|1256,1000,1,0
32,exact_donor_randomization,101|107|1244|1488,1015|1016|1039|1256,1000,0,0
33,cell_welch,101|107|1256|1488,1015|1016|1039|1244,1000,253,0
33,donor_mean_welch,101|107|1256|1488,1015|1016|1039|1244,1000,0,0
33,exact_donor_randomization,101|107|1256|1488,1015|1016|1039|1244,1000,0,0
34,cell_welch,101|1244|1256|1488,1015|1016|1039|107,1000,186,0
34,donor_mean_welch,101|1244|1256|1488,1015|1016|1039|107,1000,0,0
34,exact_donor_randomization,101|1244|1256|1488,1015|1016|1039|107,1000,0,0
