case_id,family,invalid,arm,status,accepted,seconds,remaining_high_rules
invalid_probability-2,invalid_probability,True,heuristic_advisory_without_claim,NEEDS_REVISION,False,0.00836680002976209,BFA-003c
missing_fdr-0,missing_fdr,True,heuristic_advisory,NEEDS_REVISION,False,0.010288099991157651,BFA-003
missing_fdr-0,missing_fdr,True,heuristic_advisory_without_claim,NEEDS_REVISION,False,0.008238700043875724,BFA-003
missing_fdr-1,missing_fdr,True,heuristic_advisory,NEEDS_REVISION,False,0.010447500040754676,BFA-003
missing_fdr-1,missing_fdr,True,heuristic_advisory_without_claim,NEEDS_REVISION,False,0.007859100005589426,BFA-003
missing_fdr-2,missing_fdr,True,heuristic_advisory,NEEDS_REVISION,False,0.01010610000230372,BFA-003
missing_fdr-2,missing_fdr,True,heuristic_advisory_without_claim,NEEDS_REVISION,False,0.007273399969562888,BFA-003
missing_receipt-0,missing_receipt,True,heuristic_advisory,NEEDS_DATA,False,0.01808730000630021,
missing_receipt-0,missing_receipt,True,heuristic_advisory_without_claim,NEEDS_DATA,False,0.0111210000468418,
missing_receipt-1,missing_receipt,True,heuristic_advisory,NEEDS_DATA,False,0.011760299967136234,
missing_receipt-1,missing_receipt,True,heuristic_advisory_without_claim,NEEDS_DATA,False,0.008050199947319925,
missing_receipt-2,missing_receipt,True,heuristic_advisory,NEEDS_DATA,False,0.011104199977125973,
missing_receipt-2,missing_receipt,True,heuristic_advisory_without_claim,NEEDS_DATA,False,0.008653500000946224,
valid_limited-0,valid_limited,False,heuristic_advisory,ROBUST_PASS,True,0.01041719998465851,
valid_limited-0,valid_limited,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008478500007186085,
valid_limited-1,valid_limited,False,heuristic_advisory,ROBUST_PASS,True,0.009980899980291724,
valid_limited-1,valid_limited,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008139700046740472,
valid_limited-2,valid_limited,False,heuristic_advisory,ROBUST_PASS,True,0.010565700009465218,
valid_limited-2,valid_limited,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.011610099987592548,
valid_negative-0,valid_negative,False,heuristic_advisory,ROBUST_PASS,True,0.011023400002159178,
valid_negative-0,valid_negative,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008210100000724196,
valid_negative-1,valid_negative,False,heuristic_advisory,ROBUST_PASS,True,0.01160550001077354,
valid_negative-1,valid_negative,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008423999999649823,
valid_negative-2,valid_negative,False,heuristic_advisory,ROBUST_PASS,True,0.011406300007365644,
valid_negative-2,valid_negative,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.00856370001565665,
valid_positive-0,valid_positive,False,heuristic_advisory,NEEDS_REVISION,False,0.012597399996593595,BFA-008
valid_positive-0,valid_positive,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.009435600019060075,
valid_positive-1,valid_positive,False,heuristic_advisory,NEEDS_REVISION,False,0.012095700018107891,BFA-008
valid_positive-1,valid_positive,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008289699966553599,
valid_positive-2,valid_positive,False,heuristic_advisory,NEEDS_REVISION,False,0.011714300024323165,BFA-008
valid_positive-2,valid_positive,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.009321799967437983,
valid_table_presence-0,valid_table_presence,False,heuristic_advisory,ROBUST_PASS,True,0.010185700026340783,
valid_table_presence-0,valid_table_presence,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.009169899974949658,
valid_table_presence-1,valid_table_presence,False,heuristic_advisory,ROBUST_PASS,True,0.011490400007460266,
valid_table_presence-1,valid_table_presence,False,heuristic_advisory_without_claim,ROBUST_PASS,True,0.008863700029905885,
valid_table_presence-2,valid_table_presence,False,heuristic_advisory,ROBUST_PASS,True,0.011141300026793033,
