section,filtered_spots,in_tissue_spots,excluded_in_tissue_0,genes,filtered_nnz,raw_shape,raw_nnz,pathology_missing,ARI,NMI
1142243F,4784,4784,0,28402,12821166,"[36601, 4992]",13653958,0,0.0017284791684179805,0.01967102820820698
1160920F,4895,4895,0,28402,17183978,"[36601, 4992]",17423899,1,0.24657948976917957,0.2871763070130463
CID4290,2432,2426,6,19237,7582285,"[36601, 4992]",9657384,0,0.04825120538778331,0.08526538222309446
CID4465,1211,1211,0,19237,5066468,"[36601, 4992]",9644048,0,0.030511388887982518,0.08337647006246547
CID44971,1162,1160,2,19237,4282534,"[36601, 4992]",7837340,0,0.49012055201058047,0.5384981730483309
CID4535,1127,1125,2,19237,4914742,"[36601, 4992]",9068210,1,0.09443491250031015,0.1416481535952986
