seed,grid_id,donors_per_group,cells_per_donor,donor_sd,nonnull_fraction,method,discoveries,true_positive,false_positive,fdp,sensitivity,any_false_positive,pvalue_nonfinite,two_methods_seconds
260918,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014400000218302011
260919,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0028775999671779573
260919,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0028775999671779573
260920,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001318399969022721
260920,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001318399969022721
260921,0,4,20,0.0,0.0,cell_welch,1,0,1,1.0,,1,0,0.0025283999857492745
260921,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0025283999857492745
260922,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001608800026588142
260922,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001608800026588142
260923,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0028774000238627195
260923,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0028774000238627195
260924,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0013081000070087612
260924,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0013081000070087612
260925,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0027900999994017184
260925,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0027900999994017184
260926,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0013383000041358173
260926,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0013383000041358173
260927,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0029885999974794686
260927,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0029885999974794686
260928,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0018075000261887908
260928,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0018075000261887908
260929,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0020191000076010823
260929,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0020191000076010823
260930,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.00154079997446388
260930,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.00154079997446388
260931,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.002376599994022399
260931,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.002376599994022399
260932,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001640800037421286
260932,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001640800037421286
260933,0,4,20,0.0,0.0,cell_welch,1,0,1,1.0,,1,0,0.0031934999860823154
260933,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0031934999860823154
260934,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.002101499994751066
260934,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.002101499994751066
260935,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0015833000070415437
260935,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0015833000070415437
260936,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001394999970216304
260936,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001394999970216304
260937,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001197999983560294
260937,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001197999983560294
260938,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0015172000275924802
260938,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0015172000275924802
260939,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0013112000306136906
260939,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0013112000306136906
260940,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001770299975760281
260940,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001770299975760281
260941,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0013758999994024634
260941,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0013758999994024634
260942,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0023447999847121537
