gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NT5C3A,393.69249147796575,4.278753653546512,0.1354847819184493,31.58106462556046,6.719170493341584e-219,7.972295790349789e-215
ISG20,5245.073958998568,4.3232810407553535,0.14275545376486382,30.2845245259515,1.8328556997974457e-201,1.0873416439048346e-197
IFI16,451.59652773934704,2.612639259391337,0.08779367288267119,29.758855890252,1.3320404690877607e-194,5.2682200552420935e-191
DDX58,374.4264655724876,4.388697371424711,0.15523903806934589,28.270578238601704,7.951170057775468e-176,2.358515818387648e-172
TRIM22,228.87765633609763,3.577542534998666,0.13777754615729373,25.966078180216424,1.1971283906287174e-148,2.8407856709619464e-145
RTP4,159.34937007058247,4.083243631364065,0.15936486415103668,25.62198169035683,8.68073423179738e-145,1.7166151943379318e-141
CXCL11,1634.4139207866206,8.6357602303567,0.3419042936059901,25.25782914065576,9.290967873093689e-141,1.5748190544893802e-137
C19orf66,184.7502778725613,2.48751059666448,0.09882398236547113,25.171122809695742,8.2990442665849845e-140,1.2308520027878854e-136
HERC5,403.7958242574938,4.918284475136683,0.2005124495837422,24.528574087778054,7.323282494174934e-133,9.654527421487288e-130
IL1RN,870.3375521787907,5.657370958519413,0.23660410402364088,23.910705107440332,2.3701499112566522e-126,2.8121828697060177e-123
SP110,327.52898365428706,2.758087847289754,0.11566385605280316,23.845719323334894,1.1216766187933951e-125,1.2098811892712394e-122
TREX1,158.872352986585,2.812301959515146,0.11852618602706902,23.7272627575553,1.8867731617107463e-124,1.8655469636415004e-121
PHF11,186.5920015927673,2.258821800750765,0.09585789031177289,23.564276173865945,8.962906591199487e-123,8.180375900352456e-120
PPM1K,214.288147442038,3.1879728993623,0.1403745841336875,22.710470837984413,3.530398529072147e-114,2.9920127533886446e-111
SAMD9,482.4187888666934,3.475433863277295,0.15699486970759466,22.13724480137691,1.3844504137026258e-108,1.095100277238777e-105
MT2A,848.649470960296,4.197256453779287,0.19029933526049075,22.056075225033673,8.352311068781565e-108,6.193760676943329e-105
IDO1,1626.9917678885727,4.209464411555065,0.19111269436797576,22.026084795026748,1.6198438660292126e-107,1.0677470816909226e-104
DHX58,92.94789544952867,4.683806321015461,0.21264117871064744,22.02680755165007,1.5942084229734724e-107,1.0677470816909226e-104
IFITM2,941.005582131814,2.9869640263160946,0.136252476638348,21.92227326806197,1.5930057536449278e-106,9.947901719472142e-104
SOCS1,367.74394325236415,2.5323326998084204,0.11851661738100053,21.366899897822936,2.7157710960863033e-101,1.6111312027531994e-98
HSH2D,81.27415257363603,3.412315007461202,0.1640127840734178,20.805177027747614,3.885233552806321e-96,2.1951569573355714e-93
CXCL10,12526.960667396183,6.966491064487732,0.33829981294147493,20.592654201948726,3.1938433397469187e-94,1.7224977830044178e-91
EIF2AK2,381.5306651481101,3.755042000204983,0.18649699281408494,20.134598116272624,3.6728027863100626e-90,1.894687176502995e-87
NMI,492.1848886704774,2.473797842951278,0.12301504507960073,20.109717810130704,6.066797995612359e-90,2.9992732590808603e-87
NEXN,88.47451087303078,5.966420918852368,0.29847364197619974,19.989774907253384,6.760004279776576e-89,3.2082980311819633e-86
XRN1,203.75429331446918,2.4258656909977696,0.12187078807400963,19.90522691561321,3.6662783011874296e-88,1.6730920016764944e-85
RABGAP1L,296.7481740296081,3.6827483236062073,0.18506537532486939,19.899715531019236,4.0924457437155386e-88,1.7984025462661062e-85
CD164,448.2005072969372,1.521907440597294,0.07677663569885447,19.822533596897387,1.9028339260731412e-87,8.063258761734936e-85
CMPK2,341.4128574128724,6.1391718803306174,0.31091292217610544,19.745631147660387,8.746522423976982e-87,3.578534088292651e-84
PARP9,174.7449970711755,3.200179835835841,0.16267732524476722,19.671947710111372,3.750923408834847e-86,1.4834902081941819e-83
IFIT3,2767.757283859406,6.4453148445800625,0.3278373184833427,19.660101157481698,4.7378145154366816e-86,1.813360297601814e-83
IFIT5,108.97681387216198,3.4364052737566135,0.17614635234600612,19.508807466001038,9.241282874577677e-85,3.426494415839504e-82
PSMA2.1,684.8896308489982,1.4757673781231129,0.07592450242958314,19.437300619675796,3.7329741834175265e-84,1.3421738995833016e-81
HES4,240.42220768822915,5.258160235018346,0.272075751685242,19.326089158806724,3.240717066380704e-83,1.1309149409590312e-80
RBCK1,310.2590865114436,2.453728580067383,0.12717877325423968,19.29353867222952,6.086147181689584e-83,2.063203894592769e-80
NCOA7,60.89970938525214,3.884458007253586,0.2027644107590864,19.157494121928956,8.381235776810051e-82,2.762315624773646e-79
SPATS2L,197.69710954787547,3.528549965620503,0.18468529626561733,19.105743862498326,2.261813450035629e-81,7.253085563425065e-79
IFIT2,1790.2634298673538,6.550585512297479,0.34664889791845177,18.89688832600439,1.2098041242431165e-79,3.777454193195942e-77
HERC6,88.26435056595736,4.235320578145992,0.22504414804105488,18.819954284584824,5.1829270792334126e-79,1.576805892182165e-76
IFITM1,127.86977489638552,3.657764575603918,0.1947499802095621,18.78184825317032,1.0631414127358833e-78,3.153543215527814e-76
ISG15,22347.413437048104,6.372366786222041,0.34339793708004,18.55679984686907,7.185973812859188e-77,2.07955071437986e-74
PNPT1,105.73919750835034,3.46882008506401,0.18749699871065695,18.500669924946642,2.039234198974745e-76,5.7608366121036544e-74
SP100,423.04894024981996,1.7317656562951098,0.09369962362706487,18.482098318641423,2.877689164662534e-76,7.940414404353713e-74
CCL8,6282.522096850113,9.61052779399547,0.5225124882858722,18.39291502012378,1.4970989259832293e-75,4.0370633538161406e-73
