prespecified_interaction,status,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CXCL9-CXCR3,FOUND,CAFs myCAF-like,T cells CD4+,CXCL9,CXCR3,0.34990907,0.0,0.12243564,0.4569860318815827,0.960224706790366,0.011311697,0.813824,6.530566289492044e-06,0.02318499468908248
CXCL9-CXCR3,FOUND,Macrophage,Plasmablasts,CXCL9,CXCR3,0.3668751,0.0,0.083464645,0.5026356165534027,0.8335024778770461,0.007711209,0.78304,4.594875502600087e-06,0.023364496713165584
CXCL9-CXCR3,FOUND,PVL Immature,T cells CD4+,CXCL9,CXCR3,0.33010513,0.0,0.10861022,0.4160359815004522,0.911782452724528,0.010034382,0.8045757,8.890774471760184e-06,0.025316155432090072
CXCL9-CXCR3,FOUND,DCs,T cells CD4+,CXCL9,CXCR3,0.33006307,0.0,0.10858087,0.41594913848404846,0.7470731669763394,0.010031671,0.80455446,8.895196367588587e-06,0.025322536055974197
CXCL9-CXCR3,FOUND,Monocyte,NK cells,CXCL9,CXCR3,0.29423133,0.0,0.075548686,0.3499651604053985,0.4911228776492483,0.0069798627,0.7744564,1.4582497964782251e-05,0.029708149366558335
CXCL9-CXCR3,FOUND,Cycling_Myeloid,NK cells,CXCL9,CXCR3,0.28020787,0.0,0.07024112,0.32096786657164067,0.35900848580362554,0.0064895023,0.76803094,1.8044187402263313e-05,0.031524817623851495
CXCL9-CXCR3,FOUND,CAFs myCAF-like,NK cells,CXCL9,CXCR3,0.27000025,0.0,0.06637776,0.29986078015936013,0.6531163436019548,0.00613257,0.7629534,2.101497132109548e-05,0.03296576068206036
CXCL9-CXCR3,FOUND,Monocyte,Plasmablasts,CXCL9,CXCR3,0.26998666,0.0,0.056190602,0.30229271095486615,0.3626892307818562,0.0051913895,0.7475587,2.0629038102948712e-05,0.03296742882880775
CXCL9-CXCR3,FOUND,Cycling_Myeloid,Plasmablasts,CXCL9,CXCR3,0.2559632,0.0,0.052243013,0.27329541712110833,0.23057483893623346,0.004826676,0.7406236,2.5397474049304664e-05,0.03499717551159355
CXCL9-CXCR3,FOUND,PVL Immature,NK cells,CXCL9,CXCR3,0.25019628,0.0,0.05888239,0.25891072977822954,0.6046740895361168,0.0054400815,0.75194824,2.8218194755159584e-05,0.03593503004588281
CXCL9-CXCR3,FOUND,DCs,NK cells,CXCL9,CXCR3,0.25015426,0.0,0.058866482,0.2588238867618258,0.43996480378792824,0.0054386114,0.751923,2.82380575686838e-05,0.03594083218731098
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Plasmablasts,CXCL9,CXCR3,0.24575558,0.0,0.04936957,0.2521883307088278,0.5246826967345627,0.0045612017,0.735153,2.9491381986100407e-05,0.036660071598548255
CXCL9-CXCR3,FOUND,PVL Immature,Plasmablasts,CXCL9,CXCR3,0.22595161,0.0,0.043794762,0.2112382803276972,0.4762404426687247,0.0040461514,0.72332525,3.904596553775384e-05,0.04005489762710836
CXCL9-CXCR3,FOUND,DCs,Plasmablasts,CXCL9,CXCR3,0.22590958,0.0,0.04378293,0.2111514373112935,0.3115311569205361,0.004045058,0.7232982,3.907428820461392e-05,0.04006344749497165
CXCL9-CXCR3,FOUND,B cells Memory,NK cells,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Monocyte,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Cancer Basal SC,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Myoepithelial,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,NKT cells,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,PVL Immature,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,B cells Naive,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,B cells Memory,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,CAFs MSC iCAF-like,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,CAFs myCAF-like,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Cancer Cycling,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Cancer Her2 SC,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,CAFs MSC iCAF-like,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,T cells CD8+,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Luminal Progenitors,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,B cells Naive,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Cancer Cycling,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,CAFs myCAF-like,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Cancer Basal SC,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs myCAF-like,B cells Memory,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Endothelial RGS5,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Endothelial ACKR1,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,PVL Differentiated,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Endothelial Lymphatic LYVE1,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Endothelial CXCL12,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Macrophage,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Mature Luminal,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Luminal Progenitors,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Macrophage,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Mature Luminal,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Monocyte,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Myoepithelial,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,NK cells,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Plasmablasts,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,T cells CD4+,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,B cells Memory,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,B cells Naive,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,CAFs MSC iCAF-like,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,CAFs myCAF-like,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Cancer LumA SC,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Cycling PVL,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Cancer LumB SC,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,DCs,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Cycling T-cells,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Memory,Cycling_Myeloid,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Cycling T-cells,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,DCs,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Endothelial ACKR1,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Endothelial CXCL12,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Cycling_Myeloid,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Endothelial Lymphatic LYVE1,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Endothelial RGS5,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Endothelial RGS5,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Luminal Progenitors,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,T cells CD4+,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Monocyte,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Myoepithelial,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Endothelial Lymphatic LYVE1,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,Plasmablasts,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Cancer Basal SC,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,CAFs MSC iCAF-like,Cancer Cycling,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
CXCL9-CXCR3,FOUND,B cells Naive,PVL Immature,CXCL9,CXCR3,0.050652854,1.0,0.0025651162,-0.9861706226695244,-2.8264036301518023,1.4162815e-05,0.38752237,1.0,1.0
